Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW_SPST_PTS645Sx43SMTR92,1,BOOT_LOADER,
C1,1206,1,1uF,
"C2, C3",1206,2,100uF,
C4,1206,1,100nF,
C5,1206,1,10nF,
D1,D_SOD-323_HandSoldering,1,1N5892WS,
"D2, D3, D4, D5, D6",D_MiniMELF,5,BZV55C3V3,
"D7, D9",1206,2,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3, J4, J5",TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,4,Battery Input,
L1,L_APV_ANR6045,1,100uH,
"Q2, Q3, Q4, Q5",SOIC-8_3.9x4.9mm_P1.27mm,4,IRF7343PBF,
R1,1206,1,820,
"R10, R12, R30, R8, R9",1206,5,1K,
R11,1206,1,68K,
R14,1206,1,680,
"R15, R16, R17, R18, R19, R20, R21, R22, R23",1206,9,100K,
"R24, R25, R26, R27",1206,4,100,
"R28, R29, R31, R32, R33, R4, R5, R6, R7",1206,9,10k,
R3,1206,1,220,
RST,SW_SPST_PTS645Sx43SMTR92,1,RST,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,PinHeader_1x08_P2.54mm_Vertical,1,Nokia_5110_LCD,
U3,TO-263-5_TabPin3,1,LM2576T-3.3,
